,Country_Code,Malicious
0,United States of America,44.11931818181818
1,Russian Federation,4.2897727272727275
2,Germany,20.80965909090909
3,South Africa,1.0085227272727273
4,India,1.9176136363636365
5,Australia,2.7556818181818183
6,Canada,2.8125
7,Denmark,0.24147727272727273
8,Brazil,1.4346590909090908
9,Austria,0.15625
10,Turkey,0.7670454545454546
11,North Macedonia,0.056818181818181816
12,Singapore,1.3778409090909092
13,Netherlands,1.6761363636363635
14,Hong Kong,1.5056818181818181
15,France,1.7471590909090908
16,Poland,1.40625
17,Japan,0.6818181818181818
18,Malaysia,0.29829545454545453
19,Algeria,0.014204545454545454
20,China,0.26988636363636365
21,Indonesia,0.9232954545454546
22,Spain,1.1931818181818181
23,Italy,0.8948863636363636
24,Czechia,0.3125
25,United Kingdom of Great Britain and Northern Ireland,1.4488636363636365
26,Virgin Islands (British),0.48295454545454547
27,Argentina,0.17045454545454544
28,Slovakia,0.11363636363636363
29,Latvia,0.028409090909090908
30,Sweden,0.1278409090909091
31,Ireland,0.3125
32,Ukraine,0.17045454545454544
33,Hungary,0.24147727272727273
34,Finland,0.48295454545454547
35,Lithuania,0.1846590909090909
36,Viet Nam,0.3835227272727273
37,New Zealand,0.04261363636363636
38,Greece,0.09943181818181818
39,Chile,0.2840909090909091
40,Azerbaijan,0.014204545454545454
41,Romania,0.21306818181818182
42,Colombia,0.1278409090909091
43,Bulgaria,0.29829545454545453
44,Thailand,0.29829545454545453
45,Korea (Republic of),0.21306818181818182
46,Iran (Islamic Republic of),0.14204545454545456
47,Zimbabwe,0.056818181818181816
48,Taiwan (Province of China),0.08522727272727272
49,Slovenia,0.07102272727272728
50,Belgium,0.11363636363636363
51,Portugal,0.17045454545454544
52,Vanuatu,0.014204545454545454
53,Kazakhstan,0.1278409090909091
54,Georgia,0.014204545454545454
55,Croatia,0.07102272727272728
56,Ecuador,0.014204545454545454
57,Luxembourg,0.028409090909090908
58,Pakistan,0.014204545454545454
59,Estonia,0.014204545454545454
60,Norway,0.04261363636363636
61,Bahamas,0.014204545454545454
62,Armenia,0.014204545454545454
63,Belarus,0.056818181818181816
64,Switzerland,0.17045454545454544
65,Gambia,0.014204545454545454
66,Serbia,0.07102272727272728
67,"Tanzania, United Republic of",0.028409090909090908
68,Bangladesh,0.04261363636363636
69,San Marino,0.014204545454545454
70,Israel,0.028409090909090908
71,Venezuela (Bolivarian Republic of),0.028409090909090908
72,Costa Rica,0.014204545454545454
73,-,0.014204545454545454
74,Mexico,0.028409090909090908
75,Mozambique,0.014204545454545454
76,Uruguay,0.014204545454545454
77,Nepal,0.014204545454545454
78,Uzbekistan,0.014204545454545454
79,Bosnia and Herzegovina,0.014204545454545454
